Name,ch,en,rule_main,rule_sec,operations
密碼最短使用期限,密碼最短使用期限,Minimum password age,1天,1 days,>
密碼最長使用期限,密碼最長使用期限,Maximum password age,90 天以下,90 days,<
密碼長度最小值,密碼長度最小值,Minimum password length,12個字元,12 characters,>
密碼必須符合複雜性需求,密碼必須符合複雜性需求,"Password must meet complexity requirement
",啟用,Enabled,=
強制執行密碼歷程記錄,強制執行密碼歷程記錄,"Enforce password history
",3以上記憶的密碼,3 passwords remembered,>
使用可還原的加密來存放密碼,使用可還原的加密來存放密碼,"Store passwords using reversible encryption for all users in the domain
",停用,Disabled,=
帳戶鎖定閾值,帳戶鎖定閾值,Account lockout threshold,5次不正確的登入嘗試,5 invalid logon attempts,<
重設帳戶鎖定計數器的時間間隔,重設帳戶鎖定計數器的時間間隔,"Reset lockout counter after
",15分鐘,15 minutes,>
帳戶鎖定期間,帳戶鎖定期間,"Account lockout duration
",15分鐘,15 minutes,>
互動式登入：不要求按CTRL+ALT+DEL鍵,互動式登入：不要求按CTRL+ALT+DEL鍵,"Interactive logon: Do not require CTRL+ALT+DEL
",停用,Disabled,=
互動式登入：不要顯示上次登入的使用者名稱,互動式登入：不要顯示上次登入的使用者名稱,Interactive logon: Don't display last signed-in,啟用,Enabled,=
系統加密編譯：對使用者儲存在電腦上的金鑰強制使用增強式金鑰保護,系統加密編譯：對使用者儲存在電腦上的金鑰強制使用增強式金鑰保護,"System cryptography: Force strong key protection for user keys stored on the computer
",當新金鑰被儲存及使用時，不要求使用者的輸入,User input is not required when new keys are stored and used,=
系統加密編譯：使用FIPS 140相容加密演算法，包括加密、雜湊以及簽署演算法,系統加密編譯：使用FIPS 140相容加密演算法，包括加密、雜湊以及簽署演算法,"System cryptography: Use FIPS compliant algorithms for encryption, hashing, and signing
",啟用,Enabled,=
帳戶：重新命名來賓帳戶名稱,帳戶：重新命名來賓帳戶名稱,"Accounts: Rename guest account
",Guest,Guest,!=
帳戶：重新命名系統管理員帳戶,帳戶：重新命名系統管理員帳戶,Accounts: Rename administrator account,Administrator,Administrator,!=
網域成員：安全通道資料加以數位加密或簽章(自動),網域成員：安全通道資料加以數位加密或簽章(自動),"Domain member: Digitally encrypt or sign secure channel data (always)
",啟用,Enabled,=
網域成員：安全通道資料加以數位簽章(可能的話),網域成員：安全通道資料加以數位簽章(可能的話),"Domain member: Digitally sign secure channel data (when possible) 
",啟用,Enabled,=
網域成員：要求增強式(Windows 2000或更新)工作階段金鑰,網域成員：要求增強式(Windows 2000或更新)工作階段金鑰,Domain member: Require strong (Windows 2000 or later) session key,啟用,Enabled,=
網域成員：安全通道資料加以數位加密(可能的話),網域成員：安全通道資料加以數位加密(可能的話),"Domain member: Digitally encrypt secure channel data (when possible)
",啟用,Enabled,=
網路存取：共用和安全性模式用於本機帳戶,網路存取：共用和安全性模式用於本機帳戶,"Network access: Sharing and security model for local accounts
",傳統-本機使用者以自身身分驗證,Classic,=
網路存取：不允許SAM帳戶的匿名列舉,網路存取：不允許SAM帳戶的匿名列舉,"Network access: Do not allow anonymous enumeration of SAM accounts
",啟用,Enabled,=
網路存取：限制匿名存取具名管道和共用,網路存取：限制匿名存取具名管道和共用,"Network access: Restrict anonymous access to Named Pipes and Shares
",啟用,Enabled,=
網路存取：允許匿名SID/名稱轉譯,網路存取：允許匿名SID/名稱轉譯,"Network access: Allow anonymous SID/Name translation
",停用,Disabled,=
網路存取：可以匿名存取的共用,網路存取：可以匿名存取的共用,"Network access: Shares that can be accessed anonymously
",無,None,!=
網路存取：可以匿名存取的具名管道,網路存取：可以匿名存取的具名管道,"Network access: Named Pipes that can be accessed anonymously
",無,None,!=
網路存取：不允許存放網路驗證的密碼與認證,網路存取：不允許存放網路驗證的密碼與認證,"Network access: Do not allow storage of passwords and credentials for network authentication
",停用,Disabled,=
網路存取：不允許SAM帳戶和共用的匿名列舉,網路存取：不允許SAM帳戶和共用的匿名列舉,"Network access: Do not allow anonymous enumeration of SAM accounts and shares
",啟用,Enabled,=
網路安全性：下次密碼變更時不儲存LAN Manager雜湊數值,網路安全性：下次密碼變更時不儲存LAN Manager雜湊數值,"Network security: Do not store LAN Manager hash value on next password change
",啟用,Enabled,=
網路安全性：允許Local System對NTLM使用電腦身分識別,網路安全性：允許Local System對NTLM使用電腦身分識別,"Network security: Allow Local System to use computer identity for NTLM
",啟用,Enabled,=
網路安全性：LAN Manager驗證等級,網路安全性：LAN Manager驗證等級,Network security: LAN Manager authentication level,只傳送NTLMv2回應。拒絕LM和NTLM,,=
安全性\保留舊事件,安全性\保留舊事件,Control Event Log behavior when the log file reaches its maximum size,停用,Disabled,=
安全性\記錄檔大小上限(KB),安全性\記錄檔大小上限(KB),Specify the maximum log file size (KB),"啟用
196608 KB",Enabled,=
系統\保留舊事件,系統\保留舊事件,Control Event Log behavior when the log file reaches its maximum size,停用,Disabled,=
系統\記錄檔大小上限(KB),系統\記錄檔大小上限(KB),Specify the maximum log file size (KB),"啟用
32768 KB",Enabled,=
應用程式\記錄檔大小上限(KB),應用程式\記錄檔大小上限(KB),Specify the maximum log file size (KB),"啟用
32768 KB",Enabled,=
應用程式\保留舊事件,應用程式\保留舊事件,Control Event Log behavior when the log file reaches its maximum size,停用,Disabled,=
稽核目錄服務變更,稽核目錄服務變更,Audit Directory Service Changes,成功及失敗,Success and Failure,=
稽核詳細目錄服務複寫,稽核詳細目錄服務複寫,Audit Detailed Directory Service Replication,沒有稽核,Not Configured,=
稽核目錄服務複寫,稽核目錄服務複寫,Audit Directory Service Replication,沒有稽核,Not Configured,=
稽核目錄服務存取,稽核目錄服務存取,Audit Directory Service Access,成功及失敗,Success and Failure,=
稽核系統完整性,稽核系統完整性,Audit System Integrity,成功及失敗,Success and Failure,=
稽核IPsec驅動程式,稽核IPsec驅動程式,Audit IPSec Driver,成功及失敗,Success and Failure,=
稽核安全性系統延伸,稽核安全性系統延伸,Audit Security System Extension,成功及失敗,Success and Failure,=
稽核其他系統事件,稽核其他系統事件,Audit Other System Events,沒有稽核,Not Configured,=
稽核安全性狀態變更,稽核安全性狀態變更,Audit Security State Change,成功及失敗,Success and Failure,=
稽核其他物件存取事件,稽核其他物件存取事件,Audit Other Object Access Events,沒有稽核,Not Configured,=
稽核控制代碼操作,稽核控制代碼操作,Audit Handle Manipulation,沒有稽核,Not Configured,=
稽核檔案共用,稽核檔案共用,Audit File Share,沒有稽核,Not Configured,=
稽核篩選平台連線,稽核篩選平台連線,Audit Filtering Platform Connection,沒有稽核,Not Configured,=
稽核憑證服務,稽核憑證服務,Audit Certification Services,沒有稽核,Not Configured,=
稽核檔案系統,稽核檔案系統,Audit File System,沒有稽核,Not Configured,=
稽核SAM,稽核SAM,Audit SAM,沒有稽核,Not Configured,=
稽核篩選平台封包丟棄,稽核篩選平台封包丟棄,Audit Filtering Platform Packet Drop,沒有稽核,Not Configured,=
稽核產生的應用程式,稽核產生的應用程式,Audit Application Generated,沒有稽核,Not Configured,=
稽核登錄,稽核登錄,Audit Registry,沒有稽核,Not Configured,=
稽核詳細的檔案共用,稽核詳細的檔案共用,Audit Detailed File Share,沒有稽核,Not Configured,=
稽核核心物件,稽核核心物件,Audit Kernel Object,沒有稽核,Not Configured,=
稽核篩選平台原則變更,稽核篩選平台原則變更,Audit Filtering Platform Policy Change,沒有稽核,Not Configured,=
稽核驗證原則變更,稽核驗證原則變更,Audit Authentication Policy Change,成功,Success,=
稽核授權原則變更,稽核授權原則變更,Audit Authorization Policy Change,沒有稽核,Not Configured,=
稽核「稽核原則變更」,稽核「稽核原則變更」,Audit Audit Policy Change,成功及失敗,Success and Failure,=
稽核MPSSVC規則層級原則變更,稽核MPSSVC規則層級原則變更,Audit MPSSVC Rule-Level Policy Change,沒有稽核,Not Configured,=
稽核其他原則變更事件,稽核其他原則變更事件,Audit Other Policy Change Events,沒有稽核,Not Configured,=
稽核機密特殊權限使用,稽核機密特殊權限使用,Audit Sensitive Privilege Use,成功及失敗,Success and Failure,=
稽核非機密特殊權限使用,稽核非機密特殊權限使用,Audit Non-Sensitive Privilege Use,沒有稽核,Not Configured,=
稽核其他特殊權限使用事件,稽核其他特殊權限使用事件,Audit Other Privilege Use Events,沒有稽核,Not Configured,=
稽核Kerberos驗證服務,稽核Kerberos驗證服務,Audit Kerberos Authentication Service,沒有稽核,Not Configured,=
稽核認證驗證,稽核認證驗證,Audit Credential Validation,成功及失敗,Success and Failure,=
稽核Kerberos服務票證操作,稽核Kerberos服務票證操作,Audit Kerberos Service Ticket Operations,沒有稽核,Not Configured,=
稽核其他帳戶登入事件,稽核其他帳戶登入事件,Audit Other Account Logon Events,沒有稽核,Not Configured,=
稽核應用程式群組管理,稽核應用程式群組管理,Audit Application Group Management,沒有稽核,Not Configured,=
稽核電腦帳戶管理,稽核電腦帳戶管理,Audit Computer Account Management,成功及失敗,Success and Failure,=
稽核其他帳戶管理事件,稽核其他帳戶管理事件,\Audit Other Account Management Events,成功及失敗,Success and Failure,=
稽核安全性群組管理,稽核安全性群組管理,Audit Security Group Management,成功及失敗,Success and Failure,=
稽核發佈群組管理,稽核發佈群組管理,Audit Distribution Group Management,沒有稽核,Not Configured,=
稽核使用者帳戶管理,稽核使用者帳戶管理,Audit User Account Management,成功及失敗,Success and Failure,=
稽核帳戶鎖定,稽核帳戶鎖定,Audit Account Lockout,沒有稽核,Not Configured,=
稽核IPsec延伸模式,稽核IPsec延伸模式,Audit IPsec Extended Mode,沒有稽核,Not Configured,=
稽核網路原則伺服器,稽核網路原則伺服器,Audit Network Policy Server,沒有稽核,Not Configured,=
稽核IPsec主要模式,稽核IPsec主要模式,Audit IPsec Main Mode,沒有稽核,Not Configured,=
稽核其他登入/登出事件,稽核其他登入/登出事件,Audit Other Logon/Logoff Events,沒有稽核,Not Configured,=
稽核登出,稽核登出,Audit Logoff,成功,Success,=
稽核登入,稽核登入,Audit Logon,成功及失敗,Success and Failure,=
